id ,full_name,student_id_no,year_course,school,gender,address,contact_number,email_address
1,Wildel Bravo,22B0111,BS Information Technology,MSC,Male,Buenavista,9123456789,bravo@gmail.com
2,Danica Cancino,22B0112,BS  Information System,MSC,Female,Gasan,9123456790,cancino@gmail.com
3,Genese Charlire,22B0113,BS Information Technology,MSC,Male,Boac,9123456791,gense@gmail.com
4,Robert Ivan Grajo,22B0114,BS  Information System,MSC,Male,Boac,9123456792,grajo@gmail.com
5,Chenilain Lacap,22B0115,BS Information Technology,MSC,Female,Gasan,9123456793,lacap@gmail.com
6,Albert Laurente,22B0116,BS  Information System,MSC,Male,Mogpog,9123456794,laurente@gmail.com
7,Athea Lecaros,22B0117,BS Information Technology,MSC,Female,Gasan,9123456795,lecaros@gmail.com
8,John Vilson Logmao,22B0118,BS  Information System,MSC,Male,Mogpog,9123456796,logmao@gmail.com
9,Julie Anne Lopez,22B0119,BS Information Technology,MSC,Female,Gasan,9123456797,lopez@gmail.com
10,Marc Jomari Malacas,22B0120,BS Information Technology,MSC,Male,Boac,9123456798,malacas@gmail.com
11,Ronnel Mangue,22B0121,BS  Information System,MSC,Male,Mogpog,9123456799,mague@gmail.com
12,Bea Manzano,22B0122,BS  Information System,MSC,Female,Mogpog,9123456800,manzano@gmail.com
13,Princes Mandalihan,22B0123,BS Information Technology,MSC,Female,Sta Cruz,9123456801,mandalihan@gmail.com
14,Heidy Marcelino,22B0124,BS Information Technology,MSC,Female,Mogpog,9123456802,marcelino@gmail.com
15,Cristine Joy Mayores,22B0125,BS Information Technology,MSC,Female,Mogpog,9123456803,mayores@gmail.com
16,Joshua Mendoza,22B0126,BS Information Technology,MSC,Male,Boac,9123456804,mendoza@gmail.com
17,John Rey Montiano,22B0127,BS  Information System,MSC,Male,Boac,9123456805,montiano2gmail.com
18,Terreinz Jhaztine Motol,22B0128,BS  Information System,MSC,Male,Torrijos,9123456806,motol@gmail.com
19,Jhayvie Ann Perilla,22B0129,BS  Information System,MSC,Female,Sta Cruz,9123456807,perilla@gmail.com
20,Shiela Rey,22B0130,BS  Information System,MSC,Female,Sta Cruz,9123456808,rey@gmail.com
21,Reizel Faith Saporna,22B0131,BS Information Technology,MSC,Female,Buenavista,9123456809,saporna@gmail.com
22,Jhon Earl Sarcia,22B0132,BS Information Technology,MSC,Male,Gasan,9123456810,sarcia@gmail.com
23,Sedney Semilla,22B0133,BS  Information System,MSC,Female,Gasan,9123456811,semilla@gmail.com
24,Remark John Tampol,22B0134,BS  Information System,MSC,Male,Buenavista,9123456812,tampol@gmail.com
25,Fritz Jenner Vitto,22B0135,BS  Information System,MSC,Male,Gasan,9123456813,vitto@gmail.com
